#Date,#Open,#High,#Low,#Close,#Adj Close,#Volume
4/26/2011,9.67,9.67,9.67,9.67,0.265218,0
4/27/2011,9.73,9.75,9.73,9.75,0.267412,1500
4/28/2011,10,10,10,10,0.274269,29400
4/29/2011,9.93,9.93,9.93,9.93,0.272349,2500
5/2/2011,9.8,9.8,9.8,9.8,0.268784,600
5/3/2011,9.92,9.92,9.92,9.92,0.272075,3000
5/4/2011,9.92,9.92,9.92,9.92,0.272075,0
5/5/2011,9.53,9.55,9.39,9.41,0.258087,86600
5/6/2011,9.72,9.72,9.67,9.67,0.265218,34000
5/9/2011,9.7,9.7,9.7,9.7,0.266041,1600
5/10/2011,9.88,9.95,9.88,9.95,0.272898,2400
5/11/2011,10.12,10.12,9.93,9.93,0.272349,30500
5/12/2011,9.93,9.93,9.93,9.93,0.272349,0
5/13/2011,9.34,9.34,9.34,9.34,0.256167,1500
5/16/2011,9.34,9.34,9.34,9.34,0.256167,0
5/17/2011,9.34,9.34,9.34,9.34,0.256167,0
5/18/2011,9.72,9.72,9.72,9.72,0.26659,5000
5/19/2011,9.72,9.72,9.72,9.72,0.26659,0
5/20/2011,9.72,9.72,9.72,9.72,0.26659,0
5/23/2011,9.72,9.72,9.72,9.72,0.340059,0
5/24/2011,9.72,9.72,9.72,9.72,0.340059,0
5/25/2011,9.45,9.45,9.44,9.44,0.330263,1200
5/26/2011,9.44,9.44,9.44,9.44,0.330263,0
5/27/2011,9.61,9.61,9.61,9.61,0.336211,600
5/31/2011,9.61,9.61,9.61,9.61,0.336211,0
6/1/2011,9.61,9.61,9.61,9.61,0.336211,0
6/2/2011,9.61,9.61,9.61,9.61,0.336211,0
6/3/2011,10.12,10.12,10.12,10.12,0.354053,600
6/6/2011,10.12,10.12,10.12,10.12,0.354053,0
6/7/2011,10.12,10.12,10.12,10.12,0.354053,0
6/8/2011,10.12,10.12,10.12,10.12,0.354053,0
6/9/2011,10.12,10.12,10.12,10.12,0.354053,0
6/10/2011,10.12,10.12,10.12,10.12,0.354053,0
6/13/2011,10.12,10.12,10.12,10.12,0.354053,0
6/14/2011,10.12,10.12,10.12,10.12,0.354053,0
6/15/2011,9.4,9.4,9.4,9.4,0.328864,500
6/16/2011,9.4,9.4,9.4,9.4,0.328864,0
6/17/2011,9.73,9.73,9.73,9.73,0.340409,500
6/20/2011,9.44,9.47,9.44,9.47,0.331313,2200
6/21/2011,9.47,9.47,9.47,9.47,0.331313,0
6/22/2011,9.47,9.47,9.47,9.47,0.331313,0
6/23/2011,9.47,9.47,9.47,9.47,0.331313,0
6/24/2011,9.47,9.47,9.47,9.47,0.331313,0
6/27/2011,9.47,9.47,9.47,9.47,0.331313,0
6/28/2011,9.47,9.47,9.47,9.47,0.331313,0
6/29/2011,9.47,9.47,9.47,9.47,0.331313,0
6/30/2011,9.47,9.47,9.47,9.47,0.331313,0
7/1/2011,9.47,9.47,9.47,9.47,0.331313,0
7/5/2011,9.69,9.69,9.69,9.69,0.33901,1200
7/6/2011,10.08,10.08,10.08,10.08,0.352654,200
7/7/2011,10.08,10.08,10.08,10.08,0.352654,0
7/8/2011,10.08,10.08,10.08,10.08,0.352654,0
7/11/2011,10.08,10.08,10.08,10.08,0.352654,0
7/12/2011,10.08,10.08,10.08,10.08,0.352654,0
7/13/2011,10.08,10.08,10.08,10.08,0.352654,0
7/14/2011,10.08,10.08,10.08,10.08,0.352654,0
7/15/2011,10.08,10.08,10.08,10.08,0.352654,0
7/18/2011,10.08,10.08,10.08,10.08,0.352654,0
7/19/2011,10.08,10.08,10.08,10.08,0.352654,0
7/20/2011,10.08,10.08,10.08,10.08,0.352654,0
7/21/2011,10.08,10.08,10.08,10.08,0.352654,0
7/22/2011,9.68,9.96,9.68,9.96,0.348456,1100
7/25/2011,9.96,9.96,9.96,9.96,0.348456,0
7/26/2011,9.96,9.96,9.96,9.96,0.348456,0
7/27/2011,9.76,9.76,9.69,9.69,0.33901,8000
7/28/2011,9.69,9.69,9.69,9.69,0.33901,0
7/29/2011,9.69,9.69,9.69,9.69,0.33901,0
8/1/2011,9.76,9.76,9.76,9.76,0.341459,10000
8/2/2011,9.76,9.76,9.76,9.76,0.341459,0
8/3/2011,9.76,9.76,9.76,9.76,0.341459,0
8/4/2011,9.76,9.76,9.76,9.76,0.341459,0
8/5/2011,9.76,9.76,9.76,9.76,0.341459,0
8/8/2011,9.76,9.76,9.76,9.76,0.341459,0
8/9/2011,9.76,9.76,9.76,9.76,0.341459,0
8/10/2011,9.76,9.76,9.76,9.76,0.341459,0
8/11/2011,9.02,9.04,9.02,9.04,0.316269,4900
8/12/2011,9.06,9.06,9.06,9.06,0.316969,7600
8/15/2011,9.06,9.06,9.06,9.06,0.316969,0
8/16/2011,9.26,9.27,9.26,9.27,0.324316,1000
8/17/2011,9.69,9.69,9.5,9.65,0.33761,11100
8/18/2011,9.65,9.65,9.65,9.65,0.33761,0
8/19/2011,9.37,9.37,9.26,9.26,0.323966,2200
8/22/2011,9.26,9.26,9.26,9.26,0.323966,0
8/23/2011,9.26,9.26,9.26,9.26,0.323966,0
8/24/2011,9.26,9.26,9.26,9.26,0.323966,0
8/25/2011,9.26,9.26,9.26,9.26,0.323966,0
8/26/2011,9.26,9.26,9.26,9.26,0.323966,0
8/29/2011,9.26,9.26,9.26,9.26,0.323966,0
8/30/2011,9.26,9.26,9.26,9.26,0.323966,0
8/31/2011,9.26,9.26,9.26,9.26,0.323966,0
9/1/2011,9.26,9.26,9.26,9.26,0.323966,0
9/2/2011,9.62,9.62,9.62,9.62,0.336561,200
9/6/2011,9.62,9.62,9.62,9.62,0.336561,0
9/7/2011,9.62,9.62,9.62,9.62,0.336561,0
9/8/2011,9.62,9.62,9.62,9.62,0.336561,0
9/9/2011,9.62,9.62,9.62,9.62,0.336561,0
9/12/2011,8.73,8.73,8.73,8.73,0.305424,400
9/13/2011,8.73,8.73,8.73,8.73,0.305424,0
9/14/2011,8.73,8.73,8.73,8.73,0.305424,0
9/15/2011,8.91,8.91,8.91,8.91,0.311721,400
9/16/2011,8.91,8.91,8.91,8.91,0.311721,0
9/19/2011,8.91,8.91,8.91,8.91,0.311721,0
9/20/2011,8.38,8.38,8.34,8.34,0.291779,1400
9/21/2011,8.33,8.33,8.11,8.11,0.283733,6400
9/22/2011,8.11,8.11,8.11,8.11,0.283733,0
9/23/2011,8.11,8.11,8.11,8.11,0.283733,0
9/26/2011,8.11,8.11,8.11,8.11,0.283733,0
9/27/2011,8.11,8.11,8.11,8.11,0.283733,0
9/28/2011,8.13,8.13,8.13,8.13,0.284432,1500
9/29/2011,8.13,8.13,8.13,8.13,0.284432,0
9/30/2011,8.07,8.07,8.07,8.07,0.282333,400
10/3/2011,7.67,7.67,7.67,7.67,0.268339,600
10/4/2011,7.66,7.66,7.66,7.66,0.267989,1000
10/5/2011,7.97,7.97,7.97,7.97,0.278835,9000
10/6/2011,7.97,7.97,7.97,7.97,0.278835,0
10/7/2011,8.08,8.26,7.91,7.91,0.276735,1900
10/10/2011,7.91,7.91,7.91,7.91,0.276735,0
10/11/2011,7.99,7.99,7.99,7.99,0.279534,200
10/12/2011,7.99,7.99,7.99,7.99,0.279534,0
10/13/2011,7.99,7.99,7.99,7.99,0.279534,0
10/14/2011,7.99,7.99,7.99,7.99,0.279534,0
10/17/2011,7.99,7.99,7.99,7.99,0.279534,0
10/18/2011,7.99,7.99,7.99,7.99,0.279534,0
10/19/2011,7.87,7.87,7.87,7.87,0.275336,200
10/20/2011,7.87,7.87,7.87,7.87,0.275336,0
10/21/2011,7.87,7.87,7.87,7.87,0.275336,0
10/24/2011,8.16,8.18,8.16,8.18,0.286182,3000
10/25/2011,8.18,8.18,8.18,8.18,0.286182,0
10/26/2011,8.18,8.18,8.18,8.18,0.286182,0
10/27/2011,8.92,8.93,8.92,8.93,0.312421,600
10/28/2011,8.93,8.93,8.93,8.93,0.312421,0
10/31/2011,8.93,8.93,8.93,8.93,0.312421,0
11/1/2011,8.93,8.93,8.93,8.93,0.312421,0
11/2/2011,8.93,8.93,8.93,8.93,0.312421,0
11/3/2011,8.93,8.93,8.93,8.93,0.312421,0
11/4/2011,8.93,8.93,8.93,8.93,0.312421,0
11/7/2011,8.93,8.93,8.93,8.93,0.312421,0
11/8/2011,8.93,8.93,8.93,8.93,0.312421,0
11/9/2011,8.93,8.93,8.93,8.93,0.312421,0
11/10/2011,8.93,8.93,8.93,8.93,0.312421,0
11/11/2011,8.93,8.93,8.93,8.93,0.312421,0
11/14/2011,8.93,8.93,8.93,8.93,0.312421,0
11/15/2011,8.93,8.93,8.93,8.93,0.312421,0
11/16/2011,8.93,8.93,8.93,8.93,0.312421,0
11/17/2011,8.93,8.93,8.93,8.93,0.312421,0
11/18/2011,8.93,8.93,8.93,8.93,0.312421,0
11/21/2011,8.93,8.93,8.93,8.93,0.312421,0
11/22/2011,8.93,8.93,8.93,8.93,0.312421,0
11/23/2011,8.93,8.93,8.93,8.93,0.312421,0
11/25/2011,8.93,8.93,8.93,8.93,0.312421,0
11/28/2011,8.93,8.93,8.93,8.93,0.312421,0
11/29/2011,8.72,8.72,8.72,8.72,0.305074,5800
11/30/2011,8.72,8.72,8.72,8.72,0.305074,0
12/1/2011,8.98,8.98,8.98,8.98,0.31417,700
12/2/2011,9.25,9.25,9.25,9.25,0.323616,700
12/5/2011,9.44,9.45,9.44,9.45,0.330613,700
12/6/2011,9.51,9.51,9.51,9.51,0.332712,200
12/7/2011,9.51,9.51,9.51,9.51,0.332712,0
12/8/2011,9.51,9.51,9.51,9.51,0.332712,0
12/9/2011,9.51,9.51,9.51,9.51,0.332712,0
12/12/2011,9.51,9.51,9.51,9.51,0.332712,0
12/13/2011,9.51,9.51,9.51,9.51,0.332712,0
12/14/2011,9.51,9.51,9.51,9.51,0.332712,0
12/15/2011,9.51,9.51,9.51,9.51,0.332712,0
12/16/2011,9.51,9.51,9.51,9.51,0.332712,0
12/19/2011,9.51,9.51,9.51,9.51,0.332712,0
12/20/2011,9.51,9.51,9.51,9.51,0.332712,0
12/21/2011,9.51,9.51,9.51,9.51,0.332712,0
12/22/2011,9.51,9.51,9.51,9.51,0.332712,0
12/23/2011,9.51,9.51,9.51,9.51,0.332712,0
12/27/2011,9.51,9.51,9.51,9.51,0.332712,0
12/28/2011,9.51,9.51,9.51,9.51,0.332712,0
12/29/2011,9.51,9.51,9.51,9.51,0.332712,0
12/30/2011,9.51,9.51,9.51,9.51,0.332712,0
1/3/2012,9.51,9.51,9.51,9.51,0.332712,0
1/4/2012,9.51,9.51,9.51,9.51,0.332712,0
1/5/2012,9.51,9.51,9.51,9.51,0.332712,0
1/6/2012,9.51,9.51,9.51,9.51,0.332712,0
1/9/2012,9.51,9.51,9.51,9.51,0.332712,0
1/10/2012,9.51,9.51,9.51,9.51,0.332712,0
1/11/2012,9.51,9.51,9.51,9.51,0.332712,0
1/12/2012,9.51,9.51,9.51,9.51,0.332712,0
1/13/2012,9.51,9.51,9.51,9.51,0.332712,0
1/17/2012,9.51,9.51,9.51,9.51,0.332712,0
1/18/2012,9.51,9.51,9.51,9.51,0.332712,0
1/19/2012,9.51,9.51,9.51,9.51,0.332712,0
1/20/2012,9.51,9.51,9.51,9.51,0.332712,0
1/23/2012,9.51,9.51,9.51,9.51,0.332712,0
1/24/2012,9.51,9.51,9.51,9.51,0.332712,0
1/25/2012,9.51,9.51,9.51,9.51,0.332712,0
1/26/2012,9.51,9.51,9.51,9.51,0.332712,0
1/27/2012,9.51,9.51,9.51,9.51,0.332712,0
1/30/2012,9.51,9.51,9.51,9.51,0.332712,0
1/31/2012,9.51,9.51,9.51,9.51,0.332712,0
2/1/2012,9.76,9.76,9.76,9.76,0.341459,2000
2/2/2012,9.76,9.76,9.76,9.76,0.341459,0
2/3/2012,9.76,9.76,9.76,9.76,0.341459,0
2/6/2012,9.76,9.76,9.76,9.76,0.341459,0
2/7/2012,9.76,9.76,9.76,9.76,0.341459,0
2/8/2012,9.76,9.76,9.76,9.76,0.341459,0
2/9/2012,9.76,9.76,9.76,9.76,0.341459,0
2/10/2012,9.76,9.76,9.76,9.76,0.341459,0
2/13/2012,9.76,9.76,9.76,9.76,0.341459,0
2/14/2012,9.76,9.76,9.76,9.76,0.341459,0
2/15/2012,9.76,9.76,9.76,9.76,0.341459,0
2/16/2012,9.76,9.76,9.76,9.76,0.341459,0
2/17/2012,9.76,9.76,9.76,9.76,0.341459,0
2/21/2012,9.76,9.76,9.76,9.76,0.341459,0
2/22/2012,9.76,9.76,9.76,9.76,0.341459,0
2/23/2012,9.76,9.76,9.76,9.76,0.341459,0
2/24/2012,9.76,9.76,9.76,9.76,0.341459,0
2/27/2012,10.2,10.2,10.2,10.2,0.356852,200
2/28/2012,10.2,10.2,10.2,10.2,0.356852,300
2/29/2012,10.2,10.2,10.2,10.2,0.356852,0
3/1/2012,10.2,10.2,10.2,10.2,0.356852,0
3/2/2012,10.2,10.2,10.2,10.2,0.356852,0
3/5/2012,10.2,10.2,10.2,10.2,0.356852,0
3/6/2012,10.2,10.2,10.2,10.2,0.356852,0
3/7/2012,10.2,10.2,10.2,10.2,0.356852,0
3/8/2012,10.2,10.2,10.2,10.2,0.356852,0
3/9/2012,10.2,10.2,10.2,10.2,0.356852,0
3/12/2012,10.2,10.2,10.2,10.2,0.356852,0
3/13/2012,10.2,10.2,10.2,10.2,0.356852,0
3/14/2012,10.2,10.2,10.2,10.2,0.356852,0
3/15/2012,10.2,10.2,10.2,10.2,0.356852,0
3/16/2012,10.2,10.2,10.2,10.2,0.356852,0
3/19/2012,10.2,10.2,10.2,10.2,0.356852,0
3/20/2012,10.2,10.2,10.2,10.2,0.356852,0
3/21/2012,10.2,10.2,10.2,10.2,0.356852,0
3/22/2012,9.7,9.7,9.7,9.7,0.339359,200
3/23/2012,9.7,9.7,9.7,9.7,0.339359,0
3/26/2012,9.7,9.7,9.7,9.7,0.339359,0
3/27/2012,9.7,9.7,9.7,9.7,0.339359,0
3/28/2012,9.7,9.7,9.7,9.7,0.339359,0
3/29/2012,9.7,9.7,9.7,9.7,0.339359,0
3/30/2012,9.7,9.7,9.7,9.7,0.339359,0
4/2/2012,9.7,9.7,9.7,9.7,0.339359,0
4/3/2012,10.32,10.32,10.32,10.32,0.361051,2100
4/4/2012,10.32,10.32,10.32,10.32,0.361051,0
4/5/2012,10.15,10.15,10.15,10.15,0.355103,1000
4/9/2012,10.15,10.15,10.15,10.15,0.355103,0
4/10/2012,10.12,10.12,10.12,10.12,0.354053,200
4/11/2012,10.12,10.12,10.12,10.12,0.354053,0
4/12/2012,10.14,10.14,10.14,10.14,0.354753,1000
