#Date,#Open,#High,#Low,#Close,#Adj Close,#Volume
9/18/2007,10.45,10.45,10.45,10.45,0.229289,0
9/19/2007,10.8,10.8,10.8,10.8,0.236969,1000
9/20/2007,10.35,10.75,10.35,10.35,0.227095,2200
9/21/2007,10.75,10.75,10.75,10.75,0.235871,500
9/24/2007,10.75,10.75,10.75,10.75,0.235871,0
9/25/2007,10.65,10.65,10.65,10.65,0.233677,800
9/26/2007,10.65,10.65,10.65,10.65,0.233677,0
9/27/2007,11.5,11.5,11.5,11.5,0.252328,2400
9/28/2007,12.35,12.35,11.75,12.35,0.270978,48200
10/1/2007,11.95,11.95,11.88,11.95,0.262201,2200
10/2/2007,11.75,11.82,11.73,11.75,0.257813,4300
10/3/2007,11.85,11.85,11.75,11.85,0.260007,3100
10/4/2007,11.85,11.85,11.7,11.85,0.260007,2400
10/5/2007,12.05,12.05,12.05,12.05,0.264396,5200
10/8/2007,12.25,12.35,12.1,12.25,0.268784,8100
10/9/2007,12.15,12.4,11.85,12.15,0.26659,7300
10/10/2007,11.9,12.25,11.8,11.9,0.261104,8900
10/11/2007,12.25,12.25,11.8,12.25,0.268784,12200
10/12/2007,12.25,12.25,12,12.25,0.268784,2300
10/15/2007,11.5,11.8,11.5,11.5,0.252328,65000
10/16/2007,11.7,11.75,11.7,11.7,0.256716,1900
10/17/2007,11.5,11.7,11.5,11.5,0.252328,1500
10/18/2007,12,12,12,12,0.263298,300
10/19/2007,11.8,11.9,11.8,11.8,0.25891,3700
10/22/2007,11.8,11.8,11.8,11.8,0.25891,0
10/23/2007,11.65,12.05,11.65,11.65,0.255619,1400
10/24/2007,12.1,12.1,11.7,12.1,0.265493,3300
10/25/2007,11.9,11.9,11.9,11.9,0.261104,36500
10/26/2007,12.15,12.35,12.15,12.15,0.26659,2100
10/29/2007,12.85,12.85,12.85,12.85,0.281949,4800
10/30/2007,13.15,13.35,12.6,13.15,0.288531,4800
10/31/2007,13.5,13.6,12.9,13.5,0.296211,23400
11/1/2007,13.55,13.75,13,13.55,0.297308,101600
11/2/2007,13.6,13.6,13.5,13.6,0.298405,20000
11/5/2007,13.8,13.8,13.3,13.8,0.302793,3500
11/6/2007,14.15,14.2,13.95,14.15,0.310473,18300
11/7/2007,14.35,14.4,14,14.35,0.314861,4800
11/8/2007,14.2,14.3,13.75,14.2,0.31157,7100
11/9/2007,14.2,14.2,14.2,14.2,0.31157,0
11/12/2007,13.4,13.4,13.4,13.4,0.294017,800
11/13/2007,13.9,13.9,13.2,13.9,0.304987,10000
11/14/2007,14.2,14.2,13.5,14.2,0.31157,4900
11/15/2007,14,14,13.95,14,0.307181,3600
11/16/2007,13.8,13.9,13.75,13.8,0.302793,7500
11/19/2007,13.5,13.5,13.5,13.5,0.296211,2500
11/20/2007,13.5,13.65,13.3,13.5,0.296211,3800
11/21/2007,13.5,13.5,12.75,12.75,0.279755,51300
11/23/2007,12.75,12.75,12.75,12.75,0.279755,0
11/26/2007,12.55,12.75,12.55,12.55,0.275366,1000
11/27/2007,12.35,12.55,12.25,12.35,0.270978,7600
11/28/2007,12.35,12.35,12.35,12.35,0.270978,0
11/29/2007,12.7,12.7,12.7,12.7,0.278657,700
11/30/2007,13.5,13.8,13.5,13.5,0.296211,2400
12/3/2007,13.75,13.75,13.1,13.75,0.301696,4200
12/4/2007,13.25,13.4,13.2,13.25,0.290725,5000
12/5/2007,13.25,13.35,13.2,13.25,0.290725,3400
12/6/2007,13.25,13.25,13.25,13.25,0.290725,1200
12/7/2007,13.5,13.6,13.5,13.5,0.296211,3600
12/10/2007,13.45,13.5,13.4,13.45,0.295114,3400
12/11/2007,13.5,13.5,13.3,13.5,0.296211,1000
12/12/2007,13.25,13.5,13.25,13.25,0.290725,5400
12/13/2007,13.25,13.25,13.25,13.25,0.290725,0
12/14/2007,12.6,12.65,12.6,12.6,0.276463,4400
12/17/2007,12.55,12.55,12.5,12.55,0.275366,900
12/18/2007,12.55,12.55,12.55,12.55,0.275366,0
12/19/2007,11.85,11.9,11.4,11.85,0.260007,8700
12/20/2007,11.4,11.4,11.4,11.4,0.250133,500
12/21/2007,12.3,12.3,11.69,12.3,0.269881,4100
12/24/2007,11.7,11.7,11.7,11.7,0.256716,400
12/26/2007,11.7,11.7,11.7,11.7,0.256716,0
12/27/2007,12.3,12.3,12.3,12.3,0.269881,1100
12/28/2007,12.3,12.3,12.3,12.3,0.269881,0
12/31/2007,13,13.25,12.75,13,0.28524,21600
1/2/2008,13.6,13.75,13.52,13.6,0.298405,103600
1/3/2008,13.5,13.65,13.5,13.5,0.296211,3800
1/4/2008,12.85,13.35,12.8,12.85,0.281949,3800
1/7/2008,12.5,12.9,12.5,12.5,0.274269,2800
1/8/2008,11.95,12.6,11.95,11.95,0.262201,4800
1/9/2008,11.95,12.5,11.95,11.95,0.262201,13100
1/10/2008,12.2,12.2,12.05,12.2,0.267687,2600
1/11/2008,12.2,12.2,12.2,12.2,0.267687,0
1/14/2008,11.75,11.75,11.7,11.75,0.257813,2200
1/15/2008,11.6,11.7,11,11.6,0.254522,2900
1/16/2008,10.5,10.5,10.45,10.5,0.230386,2100
1/17/2008,10,10.65,10,10,0.219415,2200
1/18/2008,9.35,9.95,9.3,9.35,0.205153,5900
1/22/2008,9.05,9.05,9,9.05,0.198571,3900
1/23/2008,9.25,9.25,8.65,9.25,0.202959,7700
1/24/2008,9.85,9.9,9.85,9.85,0.216124,3400
1/25/2008,9.65,10,9.35,9.65,0.211736,11400
1/28/2008,9.1,9.1,9.1,9.1,0.199668,1700
1/29/2008,9.75,9.8,9.35,9.75,0.21393,3600
1/30/2008,9.5,10,9.45,9.5,0.208445,8700
1/31/2008,9.25,9.5,9.25,9.25,0.202959,3600
2/1/2008,9.65,9.7,9.29,9.65,0.211736,19100
2/4/2008,9.65,9.65,9.65,9.65,0.211736,0
2/5/2008,9.15,9.2,9.15,9.15,0.200765,3200
2/6/2008,9.1,9.15,9.1,9.1,0.199668,5600
2/7/2008,8.5,9,8.5,8.5,0.186503,2300
2/8/2008,8.9,8.9,8.5,8.9,0.19528,1400
2/11/2008,8.55,8.55,8.55,8.55,0.1876,1200
2/12/2008,8.55,8.6,8.55,8.55,0.1876,1500
2/13/2008,8.35,18.35,8.35,8.35,0.183212,6500
2/14/2008,8.3,8.4,8.3,8.3,0.182115,8100
2/15/2008,7.8,7.8,7.8,7.8,0.171144,500
2/19/2008,8.35,8.35,8.35,8.35,0.183212,400
2/20/2008,7.65,7.65,7.65,7.65,0.167853,400
2/21/2008,8.3,8.3,8.05,8.3,0.182115,5000
2/22/2008,8.15,8.65,8.1,8.15,0.178824,7900
2/25/2008,9.25,9.25,8.55,9.25,0.202959,4400
2/26/2008,9.14,9.14,9,9.14,0.200546,23000
2/27/2008,9.55,9.9,9.55,9.55,0.209542,3300
2/28/2008,9.8,10,9.8,9.8,0.215027,4600
2/29/2008,9.25,9.25,9.25,9.25,0.202959,600
3/3/2008,9.35,9.35,9.35,9.35,0.205153,3100
3/4/2008,9.4,9.4,9.4,9.4,0.20625,1900
3/5/2008,9,9.7,9,9,0.197474,5300
3/6/2008,9,9.5,8.95,9,0.197474,10800
3/7/2008,8.55,8.95,8.5,8.55,0.1876,8400
3/10/2008,8.6,8.6,8.55,8.6,0.188697,5500
3/11/2008,9.5,9.5,9.5,9.5,0.208445,600
3/12/2008,9.05,9.05,9.05,9.05,0.198571,500
3/13/2008,9.02,9.02,8.8,9.02,0.197913,15600
3/14/2008,8.75,8.8,8.7,8.75,0.191988,6600
3/17/2008,8.65,8.65,8.25,8.65,0.189794,4800
3/18/2008,9,9,8.5,9,0.197474,4500
3/19/2008,8.75,8.75,8.75,8.75,0.191988,700
3/20/2008,7.95,8.05,7.9,7.95,0.174435,4100
3/24/2008,8.05,8.5,7.9,8.05,0.176629,60100
3/25/2008,8,8.5,8,8,0.175532,3000
3/26/2008,7.95,7.95,7.85,7.95,0.174435,3200
3/27/2008,8.2,8.2,8.2,8.2,0.179921,20400
3/28/2008,7.95,8.25,7.95,7.95,0.174435,1200
3/31/2008,8.3,8.3,8.25,8.3,0.182115,2500
4/1/2008,8.25,8.25,8.25,8.25,0.181018,700
4/2/2008,9,9,8.4,9,0.197474,1300
4/3/2008,8.75,8.75,8.75,8.75,0.191988,2000
4/4/2008,8.4,8.4,8.4,8.4,0.184309,400
4/7/2008,8.4,8.4,8.4,8.4,0.184309,0
4/8/2008,8.35,8.35,8.3,8.35,0.183212,6000
4/9/2008,8.15,8.15,8.15,8.15,0.178824,800
4/10/2008,8.25,8.25,8.25,8.25,0.181018,1900
4/11/2008,8.25,8.5,8.25,8.25,0.181018,3700
4/14/2008,8,8,8,8,0.175532,700
4/15/2008,8.3,8.3,8.25,8.3,0.182115,4100
