#Date,#Open,#High,#Low,#Close,#Adj Close,#Volume
1/2/2001,10790.91992,10797.01953,10585.36035,10646.15039,10646.15039,253300000
1/3/2001,10637.41992,11019.04981,10581.08984,10945.75,10945.75,420720000
1/4/2001,10944.94043,11028,10888.41992,10912.41016,10912.41016,382800000
1/5/2001,10912.80957,10919.41992,10627.75,10662.00977,10662.00977,272650000
1/8/2001,10658.73047,10700.84961,10516.01953,10621.34961,10621.34961,225780000
1/9/2001,10625.20996,10680.71973,10531.07031,10572.54981,10572.54981,254160000
1/10/2001,10568.48047,10611.58984,10472.50977,10604.26953,10604.26953,263700000
1/11/2001,10600.2002,10638.01953,10552.62012,10609.54981,10609.54981,279720000
1/12/2001,10608.74023,10623.88965,10468.04004,10525.37988,10525.37988,247020000
1/16/2001,10525.78027,10664.04981,10486.63965,10652.66016,10652.66016,233330000
1/17/2001,10660.9502,10705.92969,10545.29981,10584.33984,10584.33984,304800000
1/18/2001,10584.57031,10737.24023,10567.46973,10678.28027,10678.28027,307320000
1/19/2001,10686,10717.71973,10564.00977,10587.58984,10587.58984,363100000
1/22/2001,10581.90039,10634.36035,10509.91992,10578.24023,10578.24023,233850000
1/23/2001,10575.79981,10679.08984,10553.83984,10649.80957,10649.80957,269970000
1/24/2001,10651.84961,10680.30957,10619.71973,10646.96973,10646.96973,283190000
1/25/2001,10664.53027,10778.71973,10633.44043,10729.51953,10729.51953,249120000
1/26/2001,10727.08008,10742.94043,10625.00977,10659.98047,10659.98047,232990000
1/29/2001,10657.12988,10725.13965,10612.53027,10702.19043,10702.19043,224980000
1/30/2001,10702.19043,10900.76953,10682.95996,10881.2002,10881.2002,242900000
1/31/2001,10882.25,10957.5,10832.58008,10887.36035,10887.36035,280560000
2/1/2001,10884.82031,10983.79981,10864.16992,10983.62988,10983.62988,221680000
2/2/2001,10982.70996,11022.78027,10848.58008,10864.09961,10864.09961,206940000
2/5/2001,10860.44043,10977.66016,10851.42969,10965.84961,10965.84961,189850000
2/6/2001,10965.03027,11035.13965,10932.17969,10957.41992,10957.41992,199510000
2/7/2001,10948.9502,11004.04004,10911.25977,10946.71973,10946.71973,236350000
2/8/2001,10940.62012,10965.2002,10871.5,10880.54981,10880.54981,208300000
2/9/2001,10878.50977,10889.21973,10754.95996,10781.4502,10781.4502,207600000
2/12/2001,10779.41992,10953.62988,10771.65039,10946.76953,10946.76953,176090000
2/13/2001,10950.17969,11012.90039,10894.33984,10903.32031,10903.32031,198270000
2/14/2001,10899.41992,10917.91016,10780.41016,10795.41016,10795.41016,189300000
2/15/2001,10800.65039,10922.58008,10800.65039,10891.01953,10891.01953,219670000
2/16/2001,10884.11035,10884.11035,10722.15039,10799.82031,10799.82031,202390000
2/20/2001,10800.23047,10903.16992,10727.53027,10730.87988,10730.87988,212820000
2/21/2001,10721.29004,10746.20996,10520.26953,10526.58008,10526.58008,219630000
2/22/2001,10527.79981,10566.19043,10372.42969,10526.80957,10526.80957,278520000
2/23/2001,10529.25,10529.25,10294.00977,10441.90039,10441.90039,261840000
2/26/2001,10447.58984,10642.53027,10421.91016,10642.53027,10642.53027,243270000
2/27/2001,10638.44043,10698.42969,10560.12012,10636.87988,10636.87988,239400000
2/28/2001,10639.32031,10684.76953,10423.5,10495.28027,10495.28027,253390000
3/1/2001,10493.25,10493.25,10302.88965,10450.13965,10450.13965,259030000
3/2/2001,10438.04004,10579.26953,10302.05957,10466.30957,10466.30957,255120000
3/5/2001,10468.92969,10571.62012,10468.53027,10562.29981,10562.29981,171780000
3/6/2001,10570.16992,10690.92969,10570.16992,10591.21973,10591.21973,218690000
3/7/2001,10591.86035,10731.48047,10591.86035,10729.59961,10729.59961,238490000
3/8/2001,10727.16016,10859.5,10711.29981,10858.25,10858.25,216130000
3/9/2001,10850.11035,10850.11035,10579.26953,10644.62012,10644.62012,280060000
3/12/2001,10638.51953,10638.62988,10166.62012,10208.25,10208.25,293230000
3/13/2001,10206.88965,10293.08008,10108.08984,10290.79981,10290.79981,281280000
3/14/2001,10279.41992,10279.41992,9895.570313,9973.459961,9973.459961,307630000
3/15/2001,9982.919922,10097.73047,9980.849609,10031.28027,10031.28027,233720000
3/16/2001,10023.54981,10049.71973,9814.349609,9823.410156,9823.410156,365020000
3/19/2001,9820.049805,9992.660156,9794.070313,9959.110352,9959.110352,239520000
3/20/2001,9961.139648,10019.94043,9718.160156,9720.759766,9720.759766,268070000
